Time,AMD,C,GS,INTC,JPM,LLY,NVDA,NVO,TSLA
2021-Q4,0.4056603773584906,0.0797872340425532,0.2773109243697479,0.25882352941176473,0.08544303797468354,0.20430107526881722,0.5352112676056338,,0.10526315789473684
2022-Q1,0.3870967741935484,-0.024,0.28703703703703703,0.23255813953488372,-0.06060606060606061,0.20918367346938777,0.26732673267326734,,0.15454545454545454
2022-Q2,0.26881720430107525,0.2916666666666667,0.058823529411764705,0.21505376344086022,-0.02553191489361702,0.14761904761904762,0.03669724770642202,,0.16279069767441862
2022-Q3,0.03184713375796178,0.10204081632653061,0.2318840579710145,0.2804878048780488,-0.05913978494623656,0.11282051282051282,0.19230769230769232,,0.20253164556962025
2022-Q4,0.19444444444444445,0.2074074074074074,0.09448818897637795,0.023255813953488372,-0.004807692307692308,0.10362694300518134,0.40816326530612246,,0.1893491124260355
2023-Q1,0.12195121951219512,0.20359281437125748,0.19327731092436976,0.22522522522522523,-0.07772020725388601,0.189873417721519,0.494949494949495,,0.19158878504672897
2023-Q2,0.2909090909090909,0.14634146341463414,0.1568627450980392,0.35555555555555557,-0.06451612903225806,0.15625,0.5208333333333334,,0.271889400921659
2023-Q3,0.275,0.14285714285714285,0.041379310344827586,0.36666666666666664,-0.08379888268156424,0.2546583850931677,0.5104166666666666,,-0.07207207207207207
2023-Q4,0.20454545454545456,0.14285714285714285,0.3228346456692913,0.273972602739726,0.007692307692307693,0.1925133689839572,0.41025641025641024,0.2608695652173913,0.19289340101522842
2024-Q1,,0.2638888888888889,0.2357142857142857,,-0.010309278350515464,,,,
